Name,R G CARNATION FIRST FAMILY LP,,,,,
6330116,5/1/2025,10:15 AM,15,0.265,0.2599,0.005
6330116,5/1/2025,10:30 AM,15,0.025,0.2685,-0.2435
6330116,5/1/2025,10:45 AM,15,0.005,0.2796,-0.2746
6330116,5/1/2025,11:00 AM,15,0.005,0.2767,-0.2717
6330116,5/1/2025,11:15 AM,15,0.02,0.275,-0.255
6330116,5/1/2025,11:30 AM,15,0.02,0.2834,-0.2634
6330116,5/1/2025,11:45 AM,15,0.035,0.2808,-0.2458
6330116,5/1/2025,12:00 PM,15,0.04,0.2824,-0.2424
6330116,5/1/2025,12:15 PM,15,0.36,0.2817,0.0782
6330116,5/1/2025,12:30 PM,15,0.69,0.281,0.4089
6330116,5/1/2025,12:45 PM,15,0.115,0.2779,-0.1629
6330116,5/1/2025,1:00 PM,15,0.075,0.2832,-0.2082
6330116,5/1/2025,1:15 PM,15,0.09,0.28,-0.19
6330116,5/1/2025,1:30 PM,15,0.1,0.2841,-0.1841
6330116,5/1/2025,1:45 PM,15,0.065,0.2832,-0.2182
6330116,5/1/2025,2:00 PM,15,0.245,0.2827,-0.0377
6330116,5/1/2025,2:15 PM,15,0.355,0.2836,0.0713
6330116,5/1/2025,2:30 PM,15,0.36,0.2815,0.0784
6330116,5/1/2025,2:45 PM,15,0.11,0.2649,-0.1549
6330116,5/1/2025,3:00 PM,15,0.03,0.2527,-0.2227
6330116,5/1/2025,3:15 PM,15,0.115,0.2541,-0.1391
6330116,5/1/2025,3:30 PM,15,0.01,0.2421,-0.2321
6330116,5/1/2025,3:45 PM,15,0.07,0.2239,-0.1539
6330116,5/1/2025,4:00 PM,15,0.06,0.2076,-0.1476
6330116,5/1/2025,4:15 PM,15,0.055,0.19,-0.135
6330116,5/1/2025,4:30 PM,15,0.065,0.1732,-0.1082
6330116,5/1/2025,4:45 PM,15,0.065,0.1521,-0.0871
6330116,5/1/2025,5:00 PM,15,0.06,0.131,-0.071
6330116,5/1/2025,5:15 PM,15,0.06,0.0972,-0.0372
6330116,5/1/2025,5:30 PM,15,0.055,0.0775,-0.0225
6330116,5/1/2025,5:45 PM,15,0.04,0.0631,-0.0231
6330116,5/1/2025,6:00 PM,15,0.31,0.047,0.2629
6330116,5/1/2025,6:15 PM,15,0.075,0.028,0.0469
6330116,5/1/2025,6:30 PM,15,0.065,0.0141,0.0508
6330116,5/1/2025,6:45 PM,15,0.05,0.0064,0.0435
6330116,5/1/2025,7:00 PM,15,0.06,0.0024,0.0576
6330116,5/1/2025,7:15 PM,15,0.35,0.0002,0.3497
6330116,5/1/2025,7:30 PM,15,0.165,0,0.165
6330116,5/1/2025,7:45 PM,15,0.32,0,0.32
6330116,5/1/2025,8:00 PM,15,0.08,0,0.08
6330116,5/1/2025,8:15 PM,15,0.05,0,0.05
6330116,5/1/2025,8:30 PM,15,0.03,0,0.03
6330116,5/1/2025,8:45 PM,15,0.045,0,0.045
6330116,5/1/2025,9:00 PM,15,0.025,0,0.025
6330116,5/1/2025,9:15 PM,15,0.03,0,0.03
6330116,5/1/2025,9:30 PM,15,0.285,0,0.285
6330116,5/1/2025,9:45 PM,15,0.035,0,0.035
6330116,5/1/2025,10:00 PM,15,0.25,0,0.25
6330116,5/1/2025,10:15 PM,15,0.33,0,0.33
6330116,5/1/2025,10:30 PM,15,0.395,0,0.395
6330116,5/1/2025,10:45 PM,15,0.04,0,0.04
6330116,5/1/2025,11:00 PM,15,0.04,0,0.04
6330116,5/1/2025,11:15 PM,15,0.015,0,0.015
6330116,5/1/2025,11:30 PM,15,0.03,0,0.03
6330116,5/1/2025,11:45 PM,15,0.035,0,0.035
6330116,5/2/2025,12:00 AM,15,0.02,0,0.02
6330116,5/2/2025,12:15 AM,15,0.03,0,0.03
6330116,5/2/2025,12:30 AM,15,0.01,0,0.01
6330116,5/2/2025,12:45 AM,15,0.025,0,0.025
6330116,5/2/2025,1:00 AM,15,0.26,0,0.26
6330116,5/2/2025,1:15 AM,15,0.005,0,0.005
6330116,5/2/2025,1:30 AM,15,0.03,0,0.03
6330116,5/2/2025,1:45 AM,15,0.015,0,0.015
6330116,5/2/2025,2:00 AM,15,0.01,0,0.01
6330116,5/2/2025,2:15 AM,15,0.03,0,0.03
6330116,5/2/2025,2:30 AM,15,0.005,0,0.005
6330116,5/2/2025,2:45 AM,15,0.015,0,0.015
6330116,5/2/2025,3:00 AM,15,0.03,0,0.03
6330116,5/2/2025,3:15 AM,15,0.005,0,0.005
6330116,5/2/2025,3:30 AM,15,0.015,0,0.015
6330116,5/2/2025,3:45 AM,15,0.025,0,0.025
6330116,5/2/2025,4:00 AM,15,0.025,0,0.025
6330116,5/2/2025,4:15 AM,15,0.025,0,0.025
6330116,5/2/2025,4:30 AM,15,0.24,0,0.24
6330116,5/2/2025,4:45 AM,15,0.025,0,0.025
6330116,5/2/2025,5:00 AM,15,0.015,0,0.015
6330116,5/2/2025,5:15 AM,15,0.01,0,0.01
6330116,5/2/2025,5:30 AM,15,0.025,0,0.025
6330116,5/2/2025,5:45 AM,15,0.01,0,0.01
6330116,5/2/2025,6:00 AM,15,0.025,0,0.025
6330116,5/2/2025,6:15 AM,15,0.05,0,0.05
6330116,5/2/2025,6:30 AM,15,0.01,0.0012,0.0088
6330116,5/2/2025,6:45 AM,15,0.03,0.0038,0.0261
6330116,5/2/2025,7:00 AM,15,0.03,0.0079,0.022
6330116,5/2/2025,7:15 AM,15,0.03,0.0122,0.0177
6330116,5/2/2025,7:30 AM,15,0.02,0.0172,0.0027
6330116,5/2/2025,7:45 AM,15,0.01,0.0223,-0.0123
6330116,5/2/2025,8:00 AM,15,0.015,0.0338,-0.0188
6330116,5/2/2025,8:15 AM,15,0.025,0.0436,-0.0186
6330116,5/2/2025,8:30 AM,15,0.015,0.0489,-0.0339
6330116,5/2/2025,8:45 AM,15,0.01,0.0628,-0.0528
6330116,5/2/2025,9:00 AM,15,0.02,0.0657,-0.0457
6330116,5/2/2025,9:15 AM,15,0.265,0.0688,0.1961
6330116,5/2/2025,9:30 AM,15,0.005,0.0729,-0.0679
6330116,5/2/2025,9:45 AM,15,0.015,0.0715,-0.0565
6330116,5/2/2025,10:00 AM,15,0.025,0.0751,-0.0501
6330116,5/2/2025,10:15 AM,15,0.005,0.0837,-0.0787
6330116,5/2/2025,10:30 AM,15,0.015,0.0816,-0.0666
6330116,5/2/2025,10:45 AM,15,0.33,0.0945,0.2354
6330116,5/2/2025,11:00 AM,15,0.005,0.0842,-0.0792
6330116,5/2/2025,11:15 AM,15,0.115,0.0904,0.0245
6330116,5/2/2025,11:30 AM,15,0.87,0.1029,0.767
6330116,5/2/2025,11:45 AM,15,0.3,0.1404,0.1596
6330116,5/2/2025,12:00 PM,15,0.005,0.1977,-0.1927
6330116,5/2/2025,12:15 PM,15,0.025,0.2277,-0.2027
6330116,5/2/2025,12:30 PM,15,0.045,0.245,-0.2
6330116,5/2/2025,12:45 PM,15,0.12,0.2709,-0.1509
6330116,5/2/2025,1:00 PM,15,0.78,0.2702,0.5097
6330116,5/2/2025,1:15 PM,15,0.88,0.287,0.5929
6330116,5/2/2025,1:30 PM,15,0.395,0.2882,0.1067
6330116,5/2/2025,1:45 PM,15,0.01,0.2851,-0.2751
6330116,5/2/2025,2:00 PM,15,0.35,0.2887,0.0612
6330116,5/2/2025,2:15 PM,15,1.055,0.2846,0.7703
6330116,5/2/2025,2:30 PM,15,0.5,0.2752,0.2247
6330116,5/2/2025,2:45 PM,15,0.48,0.2623,0.2176
6330116,5/2/2025,3:00 PM,15,0.145,0.2508,-0.1058
6330116,5/2/2025,3:15 PM,15,0.02,0.2474,-0.2274
6330116,5/2/2025,3:30 PM,15,0.25,0.2352,0.0148
6330116,5/2/2025,3:45 PM,15,0.035,0.22,-0.185
6330116,5/2/2025,4:00 PM,15,0.02,0.2044,-0.1844
6330116,5/2/2025,4:15 PM,15,0.225,0.1879,0.037
6330116,5/2/2025,4:30 PM,15,0.035,0.1699,-0.1349
6330116,5/2/2025,4:45 PM,15,0.06,0.1492,-0.0892
6330116,5/2/2025,5:00 PM,15,0.115,0.1284,-0.0134
6330116,5/2/2025,5:15 PM,15,0.285,0.1077,0.1772
6330116,5/2/2025,5:30 PM,15,0.07,0.0876,-0.0176
6330116,5/2/2025,5:45 PM,15,0.06,0.0679,-0.0079
6330116,5/2/2025,6:00 PM,15,0.08,0.0432,0.0368
6330116,5/2/2025,6:15 PM,15,0.105,0.0355,0.0694
6330116,5/2/2025,6:30 PM,15,0.065,0.0148,0.0501
6330116,5/2/2025,6:45 PM,15,0.03,0.0043,0.0256
6330116,5/2/2025,7:00 PM,15,0.02,0.0004,0.0195
6330116,5/2/2025,7:15 PM,15,0.015,0,0.015
6330116,5/2/2025,7:30 PM,15,0.025,0,0.025
6330116,5/2/2025,7:45 PM,15,0.04,0,0.04
6330116,5/2/2025,8:00 PM,15,0.235,0,0.235
6330116,5/2/2025,8:15 PM,15,0.015,0,0.015
6330116,5/2/2025,8:30 PM,15,0.04,0,0.04
6330116,5/2/2025,8:45 PM,15,0.065,0,0.065
6330116,5/2/2025,9:00 PM,15,0.06,0,0.06
6330116,5/2/2025,9:15 PM,15,0.075,0,0.075
6330116,5/2/2025,9:30 PM,15,0.075,0,0.075
6330116,5/2/2025,9:45 PM,15,0.065,0,0.065
6330116,5/2/2025,10:00 PM,15,0.275,0,0.275
6330116,5/2/2025,10:15 PM,15,0.325,0,0.325
6330116,5/2/2025,10:30 PM,15,0.275,0,0.275
6330116,5/2/2025,10:45 PM,15,0.71,0,0.71
6330116,5/2/2025,11:00 PM,15,0.4,0,0.4
6330116,5/2/2025,11:15 PM,15,0.18,0,0.18
6330116,5/2/2025,11:30 PM,15,0.075,0,0.075
6330116,5/2/2025,11:45 PM,15,0.045,0,0.045
6330116,5/3/2025,12:00 AM,15,0.05,0,0.05
6330116,5/3/2025,12:15 AM,15,0.285,0,0.285
6330116,5/3/2025,12:30 AM,15,0.025,0,0.025
6330116,5/3/2025,12:45 AM,15,0.04,0,0.04
6330116,5/3/2025,1:00 AM,15,0.04,0,0.04
6330116,5/3/2025,1:15 AM,15,0.03,0,0.03
6330116,5/3/2025,1:30 AM,15,0.01,0,0.01
6330116,5/3/2025,1:45 AM,15,0.015,0,0.015
6330116,5/3/2025,2:00 AM,15,0.025,0,0.025
6330116,5/3/2025,2:15 AM,15,0.025,0,0.025
6330116,5/3/2025,2:30 AM,15,0.01,0,0.01
6330116,5/3/2025,2:45 AM,15,0.01,0,0.01
6330116,5/3/2025,3:00 AM,15,0.03,0,0.03
6330116,5/3/2025,3:15 AM,15,0.015,0,0.015
6330116,5/3/2025,3:30 AM,15,0.01,0,0.01
6330116,5/3/2025,3:45 AM,15,0.02,0,0.02
6330116,5/3/2025,4:00 AM,15,0.275,0,0.275
6330116,5/3/2025,4:15 AM,15,0.01,0,0.01
6330116,5/3/2025,4:30 AM,15,0.01,0,0.01
6330116,5/3/2025,4:45 AM,15,0.025,0,0.025
6330116,5/3/2025,5:00 AM,15,0.025,0,0.025
6330116,5/3/2025,5:15 AM,15,0.005,0,0.005
6330116,5/3/2025,5:30 AM,15,0.01,0,0.01
6330116,5/3/2025,5:45 AM,15,0.025,0,0.025
6330116,5/3/2025,6:00 AM,15,0.02,0,0.02
6330116,5/3/2025,6:15 AM,15,0.005,0,0.005
6330116,5/3/2025,6:30 AM,15,0.015,0.0007,0.0142
6330116,5/3/2025,6:45 AM,15,0.28,0.0057,0.2742
6330116,5/3/2025,7:00 AM,15,0.02,0.0043,0.0156
6330116,5/3/2025,7:15 AM,15,0.005,0.0057,-0.0007
6330116,5/3/2025,7:30 AM,15,0.015,0.0093,0.0056
6330116,5/3/2025,7:45 AM,15,0.025,0.0098,0.0151
6330116,5/3/2025,8:00 AM,15,0.01,0.0158,-0.0058
6330116,5/3/2025,8:15 AM,15,0.17,0.0213,0.1486
6330116,5/3/2025,8:30 AM,15,0.085,0.0211,0.0638
6330116,5/3/2025,8:45 AM,15,0.025,0.03,-0.005
6330116,5/3/2025,9:00 AM,15,0,0.0264,-0.0264
6330116,5/3/2025,9:15 AM,15,0.005,0.0307,-0.0257
6330116,5/3/2025,9:30 AM,15,0.02,0.0309,-0.0109
6330116,5/3/2025,9:45 AM,15,0.025,0.0338,-0.0088
6330116,5/3/2025,10:00 AM,15,0.005,0.0463,-0.0413
6330116,5/3/2025,10:15 AM,15,0.005,0.0544,-0.0494
6330116,5/3/2025,10:30 AM,15,0.02,0.046,-0.026
6330116,5/3/2025,10:45 AM,15,0.045,0.0597,-0.0147
6330116,5/3/2025,11:00 AM,15,0.06,0.0513,0.0086
6330116,5/3/2025,11:15 AM,15,0.315,0.053,0.2619
6330116,5/3/2025,11:30 AM,15,0.055,0.0528,0.0022
6330116,5/3/2025,11:45 AM,15,0.025,0.0499,-0.0249
6330116,5/3/2025,12:00 PM,15,0.025,0.0789,-0.0539
6330116,5/3/2025,12:15 PM,15,0.025,0.1046,-0.0796
6330116,5/3/2025,12:30 PM,15,0.005,0.1324,-0.1274
6330116,5/3/2025,12:45 PM,15,0.005,0.1108,-0.1058
6330116,5/3/2025,1:00 PM,15,0.02,0.0933,-0.0733
6330116,5/3/2025,1:15 PM,15,0.025,0.1197,-0.0947
6330116,5/3/2025,1:30 PM,15,0.015,0.1456,-0.1306
6330116,5/3/2025,1:45 PM,15,0.005,0.1593,-0.1543
6330116,5/3/2025,2:00 PM,15,0.01,0.2001,-0.1901
6330116,5/3/2025,2:15 PM,15,0.03,0.2148,-0.1848
6330116,5/3/2025,2:30 PM,15,0.015,0.2018,-0.1868
6330116,5/3/2025,2:45 PM,15,0.01,0.1996,-0.1896
6330116,5/3/2025,3:00 PM,15,0.02,0.1951,-0.1751
6330116,5/3/2025,3:15 PM,15,0.025,0.1975,-0.1725
6330116,5/3/2025,3:30 PM,15,0.02,0.1528,-0.1328
6330116,5/3/2025,3:45 PM,15,0.01,0.1257,-0.1157
6330116,5/3/2025,4:00 PM,15,0.01,0.1336,-0.1236
6330116,5/3/2025,4:15 PM,15,0.275,0.1471,0.1278
6330116,5/3/2025,4:30 PM,15,0.02,0.1425,-0.1225
6330116,5/3/2025,4:45 PM,15,0.005,0.1339,-0.1289
6330116,5/3/2025,5:00 PM,15,0.01,0.0823,-0.0723
6330116,5/3/2025,5:15 PM,15,0.03,0.102,-0.072
6330116,5/3/2025,5:30 PM,15,0.18,0.101,0.0789
6330116,5/3/2025,5:45 PM,15,0.075,0.0307,0.0442
6330116,5/3/2025,6:00 PM,15,0.01,0.0105,-0.0005
6330116,5/3/2025,6:15 PM,15,0.09,0.0004,0.0895
6330116,5/3/2025,6:30 PM,15,0.02,0.0016,0.0183
6330116,5/3/2025,6:45 PM,15,0.26,0.0009,0.259
6330116,5/3/2025,7:00 PM,15,0.025,0,0.025
6330116,5/3/2025,7:15 PM,15,0.045,0,0.045
6330116,5/3/2025,7:30 PM,15,0.035,0,0.035
6330116,5/3/2025,7:45 PM,15,0.03,0,0.03
6330116,5/3/2025,8:00 PM,15,0.025,0,0.025
6330116,5/3/2025,8:15 PM,15,0.03,0,0.03
6330116,5/3/2025,8:30 PM,15,0.035,0,0.035
6330116,5/3/2025,8:45 PM,15,0.04,0,0.04
6330116,5/3/2025,9:00 PM,15,0.025,0,0.025
6330116,5/3/2025,9:15 PM,15,0.015,0,0.015
6330116,5/3/2025,9:30 PM,15,0.04,0,0.04
6330116,5/3/2025,9:45 PM,15,0.035,0,0.035
6330116,5/3/2025,10:00 PM,15,0.28,0,0.28
6330116,5/3/2025,10:15 PM,15,0.035,0,0.035
6330116,5/3/2025,10:30 PM,15,0.045,0,0.045
6330116,5/3/2025,10:45 PM,15,0.04,0,0.04
6330116,5/3/2025,11:00 PM,15,0.02,0,0.02
6330116,5/3/2025,11:15 PM,15,0.015,0,0.015
6330116,5/3/2025,11:30 PM,15,0.025,0,0.025
6330116,5/3/2025,11:45 PM,15,0.02,0,0.02
6330116,5/4/2025,12:00 AM,15,0.005,0,0.005
6330116,5/4/2025,12:15 AM,15,0.01,0,0.01
6330116,5/4/2025,12:30 AM,15,0.03,0,0.03
6330116,5/4/2025,12:45 AM,15,0.02,0,0.02
6330116,5/4/2025,1:00 AM,15,0.255,0,0.255
6330116,5/4/2025,1:15 AM,15,0.01,0,0.01
6330116,5/4/2025,1:30 AM,15,0.03,0,0.03
6330116,5/4/2025,1:45 AM,15,0.015,0,0.015
6330116,5/4/2025,2:00 AM,15,0.005,0,0.005
6330116,5/4/2025,2:15 AM,15,0.01,0,0.01
6330116,5/4/2025,2:30 AM,15,0.045,0,0.045
6330116,5/4/2025,2:45 AM,15,0.03,0,0.03
6330116,5/4/2025,3:00 AM,15,0.02,0,0.02
6330116,5/4/2025,3:15 AM,15,0.03,0,0.03
6330116,5/4/2025,3:30 AM,15,0.025,0,0.025
6330116,5/4/2025,3:45 AM,15,0.03,0,0.03
6330116,5/4/2025,4:00 AM,15,0.025,0,0.025
6330116,5/4/2025,4:15 AM,15,0.01,0,0.01
6330116,5/4/2025,4:30 AM,15,0.005,0,0.005
6330116,5/4/2025,4:45 AM,15,0.015,0,0.015
6330116,5/4/2025,5:00 AM,15,0.025,0,0.025
6330116,5/4/2025,5:15 AM,15,0.025,0,0.025
6330116,5/4/2025,5:30 AM,15,0.01,0,0.01
6330116,5/4/2025,5:45 AM,15,0.005,0,0.005
6330116,5/4/2025,6:00 AM,15,0.02,0,0.02
6330116,5/4/2025,6:15 AM,15,0.255,0.0002,0.2547
6330116,5/4/2025,6:30 AM,15,0.53,0.0014,0.5285
6330116,5/4/2025,6:45 AM,15,0.145,0.0014,0.1435
6330116,5/4/2025,7:00 AM,15,0.035,0.0024,0.0326
6330116,5/4/2025,7:15 AM,15,0.035,0.0098,0.0251
6330116,5/4/2025,7:30 AM,15,0.005,0.0141,-0.0091
6330116,5/4/2025,7:45 AM,15,0.02,0.0134,0.0065
6330116,5/4/2025,8:00 AM,15,0.03,0.018,0.012
6330116,5/4/2025,8:15 AM,15,0.01,0.0211,-0.0111
6330116,5/4/2025,8:30 AM,15,0.015,0.0223,-0.0073
6330116,5/4/2025,8:45 AM,15,0.205,0.0475,0.1574
6330116,5/4/2025,9:00 AM,15,0.09,0.0775,0.0124
6330116,5/4/2025,9:15 AM,15,0.01,0.1,-0.09
6330116,5/4/2025,9:30 AM,15,0.025,0.0465,-0.0215
6330116,5/4/2025,9:45 AM,15,0.02,0.0861,-0.0661
6330116,5/4/2025,10:00 AM,15,0.01,0.1041,-0.0941
6330116,5/4/2025,10:15 AM,15,0.01,0.1245,-0.1145
6330116,5/4/2025,10:30 AM,15,0.03,0.0938,-0.0638
6330116,5/4/2025,10:45 AM,15,0.01,0.0796,-0.0696
6330116,5/4/2025,11:00 AM,15,0.005,0.0909,-0.0859
6330116,5/4/2025,11:15 AM,15,0.315,0.1197,0.1952
6330116,5/4/2025,11:30 AM,15,0.035,0.1231,-0.0881
6330116,5/4/2025,11:45 AM,15,0.025,0.1867,-0.1617
6330116,5/4/2025,12:00 PM,15,0.015,0.1896,-0.1746
6330116,5/4/2025,12:15 PM,15,0.015,0.2148,-0.1998
6330116,5/4/2025,12:30 PM,15,0.36,0.2287,0.1312
6330116,5/4/2025,12:45 PM,15,0.025,0.1965,-0.1715
6330116,5/4/2025,1:00 PM,15,0.015,0.1516,-0.1366
6330116,5/4/2025,1:15 PM,15,0.005,0.148,-0.143
6330116,5/4/2025,1:30 PM,15,0.005,0.1514,-0.1464
6330116,5/4/2025,1:45 PM,15,0.02,0.1315,-0.1115
6330116,5/4/2025,2:00 PM,15,0.025,0.0703,-0.0453
6330116,5/4/2025,2:15 PM,15,0.005,0.0643,-0.0593
6330116,5/4/2025,2:30 PM,15,0.005,0.1816,-0.1766
6330116,5/4/2025,2:45 PM,15,0.015,0.1576,-0.1426
6330116,5/4/2025,3:00 PM,15,0.03,0.1624,-0.1324
6330116,5/4/2025,3:15 PM,15,0.005,0.1267,-0.1217
6330116,5/4/2025,3:30 PM,15,0.005,0.0674,-0.0624
6330116,5/4/2025,3:45 PM,15,0.005,0.0688,-0.0638
6330116,5/4/2025,4:00 PM,15,0.025,0.072,-0.047
6330116,5/4/2025,4:15 PM,15,0.02,0.0676,-0.0476
6330116,5/4/2025,4:30 PM,15,0.005,0.0528,-0.0478
6330116,5/4/2025,4:45 PM,15,0.005,0.0542,-0.0492
6330116,5/4/2025,5:00 PM,15,0.035,0.0556,-0.0206
6330116,5/4/2025,5:15 PM,15,0.285,0.0201,0.2648
6330116,5/4/2025,5:30 PM,15,0.01,0.0228,-0.0128
6330116,5/4/2025,5:45 PM,15,0.005,0.0247,-0.0197
6330116,5/4/2025,6:00 PM,15,0.02,0.0091,0.0108
6330116,5/4/2025,6:15 PM,15,0.055,0.0117,0.0432
6330116,5/4/2025,6:30 PM,15,0.055,0.01,0.0449
6330116,5/4/2025,6:45 PM,15,0.285,0.0024,0.2826
6330116,5/4/2025,7:00 PM,15,0.055,0.0004,0.0545
6330116,5/4/2025,7:15 PM,15,0.05,0,0.05
6330116,5/4/2025,7:30 PM,15,0.045,0,0.045
6330116,5/4/2025,7:45 PM,15,0.09,0,0.09
6330116,5/4/2025,8:00 PM,15,0.265,0,0.265
6330116,5/4/2025,8:15 PM,15,0.04,0,0.04
6330116,5/4/2025,8:30 PM,15,0.045,0,0.045
6330116,5/4/2025,8:45 PM,15,0.04,0,0.04
6330116,5/4/2025,9:00 PM,15,0.045,0,0.045
6330116,5/4/2025,9:15 PM,15,0.04,0,0.04
6330116,5/4/2025,9:30 PM,15,0.04,0,0.04
6330116,5/4/2025,9:45 PM,15,0.25,0,0.25
6330116,5/4/2025,10:00 PM,15,0.055,0,0.055
6330116,5/4/2025,10:15 PM,15,0.27,0,0.27
6330116,5/4/2025,10:30 PM,15,0.045,0,0.045
6330116,5/4/2025,10:45 PM,15,0.035,0,0.035
6330116,5/4/2025,11:00 PM,15,0.26,0,0.26
6330116,5/4/2025,11:15 PM,15,0.025,0,0.025
6330116,5/4/2025,11:30 PM,15,0.025,0,0.025
6330116,5/4/2025,11:45 PM,15,0.005,0,0.005
6330116,5/5/2025,12:00 AM,15,0.03,0,0.03
6330116,5/5/2025,12:15 AM,15,0.025,0,0.025
6330116,5/5/2025,12:30 AM,15,0.015,0,0.015
6330116,5/5/2025,12:45 AM,15,0.01,0,0.01
6330116,5/5/2025,1:00 AM,15,0.03,0,0.03
6330116,5/5/2025,1:15 AM,15,0.025,0,0.025
6330116,5/5/2025,1:30 AM,15,0.005,0,0.005
6330116,5/5/2025,1:45 AM,15,0.02,0,0.02
6330116,5/5/2025,2:00 AM,15,0.03,0,0.03
6330116,5/5/2025,2:15 AM,15,0.01,0,0.01
6330116,5/5/2025,2:30 AM,15,0.015,0,0.015
6330116,5/5/2025,2:45 AM,15,0.025,0,0.025
6330116,5/5/2025,3:00 AM,15,0.015,0,0.015
6330116,5/5/2025,3:15 AM,15,0.01,0,0.01
6330116,5/5/2025,3:30 AM,15,0.025,0,0.025
6330116,5/5/2025,3:45 AM,15,0.02,0,0.02
6330116,5/5/2025,4:00 AM,15,0.005,0,0.005
6330116,5/5/2025,4:15 AM,15,0.025,0,0.025
6330116,5/5/2025,4:30 AM,15,0.045,0,0.045
6330116,5/5/2025,4:45 AM,15,0.04,0,0.04
6330116,5/5/2025,5:00 AM,15,0.115,0,0.115
6330116,5/5/2025,5:15 AM,15,0.19,0,0.19
6330116,5/5/2025,5:30 AM,15,0.03,0,0.03
6330116,5/5/2025,5:45 AM,15,0.025,0,0.025
6330116,5/5/2025,6:00 AM,15,0.03,0.0012,0.0288
6330116,5/5/2025,6:15 AM,15,0.03,0.005,0.0249
6330116,5/5/2025,6:30 AM,15,0.255,0.0213,0.2336
6330116,5/5/2025,6:45 AM,15,0.01,0.0273,-0.0173
6330116,5/5/2025,7:00 AM,15,0.025,0.0283,-0.0033
6330116,5/5/2025,7:15 AM,15,0.025,0.058,-0.033
6330116,5/5/2025,7:30 AM,15,0.01,0.0619,-0.0519
6330116,5/5/2025,7:45 AM,15,0.02,0.059,-0.039
6330116,5/5/2025,8:00 AM,15,0.025,0.0753,-0.0503
6330116,5/5/2025,8:15 AM,15,0.005,0.0537,-0.0487
6330116,5/5/2025,8:30 AM,15,0.025,0.0511,-0.0261
6330116,5/5/2025,8:45 AM,15,0.02,0.1056,-0.0856
6330116,5/5/2025,9:00 AM,15,0,0.1401,-0.1401
6330116,5/5/2025,9:15 AM,15,0.03,0.1687,-0.1387
